标题,链接,价格,作者,出版时间,评论数,简介
PYTHON数据分析实战 (意)内利(Fabio Nelli) 著;杜春晓 译 【文轩正版图书】了解数据分析全貌 全面掌握用Python语言及专业的库进行数据分析 驾驭大数据,http://product.dangdang.com/1459169392.html,¥28.30,(意)内利(Fabio Nelli) 著;杜春晓 译,2016/8/1,1,
【正版直发】Python机器学习和图像处理实战：面部识别、目标检测和模式识别 [印] 希曼舒・辛格（Himanshu S 正版书籍，放心下单,http://product.dangdang.com/1655870623.html,¥38.00,[印] 希曼舒・辛格（Himanshu Singh） 著，骆,2019/12/1,1,阅读《Python机器学习和图像处理实战 面部识别、目标检测和模式识别》可深入?解基于Python实现的机器学习与神经网络之上的图像处理方法与算法。 本书首先介绍环境设置，讲解图像处理的基本术语，并探究有助于实现本书中算法的Python概念。 然后详细介绍所有的核心图像处理算法，接着转而介绍计算机视觉库OpenCV，你将?解OpenCV算法及其在图像处理中的应用。 最后介绍用于图像处理与分类的机器学习和深度学习的高级方法，将神经网络、Adaboost、XGBoost、卷积神经网络等概念运用到具体的图像应用中。 书中所有的概念都用现实场景来解释。读完本书，你将能够应用图像处理技术并训练机器学习模型来满足定制化需求。
Python程序设计 第3版 计算机 网络 程序设计核心编程 python基础教程 pyhton从入门到精通python,http://product.dangdang.com/1540238235.html,¥66.00,约翰・策勒,2019/9/30,1,
Python数据分析与应用 企业真实项目案例 源代码等相关学习资源 大数据 数据分析 数据挖掘 高职计算机大数据技术与应,http://product.dangdang.com/1540243705.html,¥49.00,无,2018/4/1,1,
"Python开发向导 肖睿,盛鸿宇 主编 【文轩正版图书】",http://product.dangdang.com/1026499657.html,¥23.00,编者:肖睿//盛鸿宇 著作,2017/5/1,1,
Python科学计算（第2版）+Python数据科学入门 Python语言编程教程 Python数据科学手册 数据分析计,http://product.dangdang.com/1437119487.html,¥186.00,张若愚,2016/4/1,1,
Python物理建模初学者指南 Python数据处理入门到实践 数据可视化教程书+Python物理学高效计算 Pytho,http://product.dangdang.com/1236048987.html,¥158.00,"Jesse,M.,Kinder",2017/11/1,1,
Python期货量化交易实战 基于python的金融分析 金融大数据书 量化交易实战教程书籍程序化交易 自动化交易,http://product.dangdang.com/1587189823.html,¥44.00,酆士昌 刘承彦,2020/2/2,1,
Python面向对象编程指南[美]Steven F. Lott（洛特9787115405586【限时秒杀】 正版保障 达额立减 闪电发货 80%城市次日达！,http://product.dangdang.com/1674925270.html,¥83.64,[美]Steven F. Lott（洛特） 著；张心韬、兰,2000/1/1,1,
Python机器学习算法 机器学习算法理论知识 python机器学习入门教程 Python算法理论实践书 机器学习入门读 A6,http://product.dangdang.com/1527076991.html,¥69.00,赵志勇,2019/10/24,1,
Python应用开发实战,http://product.dangdang.com/1395054969.html,¥34.76,(美)尼纳德・萨斯叶|译者:包永帅//齐兆慧...,2018/6/1,1,
Python新手使用Django架站的16堂课 何敏煌 著 【文轩正版图书】,http://product.dangdang.com/1317045147.html,¥66.80,何敏煌,2017/5/1,1,Python是目前很好受欢迎的程序设计语言，本书通过对Python语言使用很多的Django Web Framework的介绍，让读者可以轻松制作出全功能的动态网站。 本书分4部分，以16堂课来介绍Python新手使用Django架站的要点。部分（~3堂）以一个小型的个人博客网站为主轴，介绍如何快速建立一个实用的Django网站；第二部分（第4~7堂）是Django架构深入剖析，详细分析Django的MVC/MTV架构；第三部分（第8~11堂）为实用网站开发技巧；第四部分（2~16堂）为实用网站开发教学，从设计、规划到实践，逐步指导读者在自己的主机环境下构建出有趣实用的内容。 本书既可作为希望快速上手Python+Django的初学者的参考书籍，也可作为Python培训学校在Python+Django方面的培训教程。
Python高效开发实战:Django、Tornado、Flask、Twisted 刘长龙 著 【文轩正版图书】,http://product.dangdang.com/1401700840.html,¥67.60,刘长龙 著,2016/10/1,1,
Python核心编程书籍第二版+Python核心编程第3版,http://product.dangdang.com/1191328687.html,¥188.00,（美）丘恩（Chun，W.J.）,2008/6/1,1,
Python密码学编程 (美)斯维加特(Al Sweigart) 著;李永伦 译 【文轩正版图书】Python编程实现加密算法的初学者指南,http://product.dangdang.com/1435068192.html,¥33.10,(美)斯维加特(Al Sweigart) 著;李永伦 译,2016/8/1,1,本书是学习用Python编程实现加密算法的初学者指南。本书采用的示例源代码，是几个加密算法及其破解程序，包括凯撒密码、换位加密法、乘数加密法、仿射加密法、简单代替加密法、维吉尼亚加密法等，以及这些加密法的破解程序。本书的后一章还介绍了现代RSA加密法和公钥加密法。本书适合Python初学者和密码学的初学者，也适合信息安全从业人员。
Python Web开发 测试驱动方法 [英] 珀西瓦尔 9787115403278 人民邮电出版社 新书店购书无忧有保障！,http://product.dangdang.com/1571211962.html,¥88.00,[英] 珀西瓦尔（Harry J.W. Percival）,2015/10/1,1,本书手把手教你从头开始开发一个真正的Web应用，并且展示使用Python做测试驱动开发（TDD）的优势。你将学到如何在开发应用的每一个部分之前先编写和运行测试，然后再编写少量的代码让测试通过。也就是说，你将学会应用TDD理念，写出简洁可用、赏心悦目的代码。 在这个过程中，你还将学到Django、Selenium、Git、jQuery和Mock的基础知识，以及其他当前流行的Web开发技术。如果你准备提升自己的Python技能，本书将清楚地演示如何使用TDD实现简单的设计。 通过阅读本书，你将： 深入分析TDD流程，包括“单元测试/编写代码”循环和重构； 使用单元测试检查类和函数，使用功能测试检查浏览器中的用户交互； 学习何时以及如何使用模拟对象，以及隔离测试和整合测试的优缺点； 在过渡服务器中测试和自动部署； 测试网站中集成的第三方插件； 使用持续集成环境自动运
"Python网络编程基础[美] 高森（John Goerzen）,莫迟 等9787121044953电子工业出版社 新书店购书无忧有保障！",http://product.dangdang.com/1577372612.html,¥57.00,"[美] 高森（John Goerzen）,莫迟 等",2007/6/1,1,Python网络编程*入门图书！ 175个完整实例，实践出真知，Sockets、DNS、Web Service、FTP、Email、SMTP、POP、IMAP、SocketServe、CGI、XML、Forking、数据库客户端、多线程、异步通信 完整涵盖网络编程的方方面面 亲爱的读者：Python语言非常流行的一个原因在于它方便而灵活的特性。使用Python编写网络程序同样是非常方便的，它可以无拘无束地访问操作系统的网络库，更不用说很多不同的模块了，它们可以实现诸如HTTP、FTP、SMTP、IMAP、DNS等完整的协议。无论您是要编写网络程序来和本地的机器通信，还是和远程的服务器通信，Python都是您需要的语言。为了使您能快速掌握Python网络编程，书中加入了大约175个示例程序
Python 程序设计基础实战教程 韦玮 Python程序设计+Python程序设计案例课堂,http://product.dangdang.com/1428571587.html,¥114.00,韦玮,2018/1/1,1,
Python项目开发实战 第2版 日 BePROUD股份有限公司 9787115438560,http://product.dangdang.com/1633348101.html,¥105.00,日 BePROUD股份有限公司,2016/12/1,1,会写代码 能做好项目！ 建立有序生产环境 迅速融入开发团队 高效处理项目问题 网罗Python项目开发中的流程，让你的编程事半功倍 Python项目与封装/团队开发环境/问题驱动开发/源码管理（Mercurial） Jenkins持续集成（CI）/环境搭建与部署的自动化（Ansible）/Django框架 日本极客和书虫们的智慧结晶和经验总结 BeProud里不乏极客和书虫们。在这里，很多人对特定领域的了解程度能吓掉你的下巴。大家一旦发现感兴趣的事，就会拿出私人时间来学习、实践。要知道，极客和书虫们不会为这种事情吝啬时间。 正如人们印象中的那样，极客和书虫们大多有些怪癖，但BeProud 的员工都具备下列共识。 ?希望能不做不想做的事 ?希望学会好的方法并付诸实践 ?希望工作时有个好心情
Python学习手册 第4版 Python运维实践 计算机网络 程序设计机械工业 python编程入门经典书籍 Pyth,http://product.dangdang.com/1555329785.html,¥113.00,(美)鲁特兹,2011/4/1,1,
PYTHON QT GUI与数据可视化编程 人民邮电出版社 【文轩正版图书】PyQt5教程书籍 pyqt5快速开发实例教程 示例丰富的Python GUI编程和数据可视化编程的实用指南,http://product.dangdang.com/1529328232.html,¥47.50,王维波 栗宝鹃 张晓东,2019/9/1,1,
Python游戏编程快速上手(第4版) (美)斯维加特(Al Sweigart) 著;李强 译 【文轩正版图书】初学者学习游戏开发实战指南 畅销书Python编程快速上手作者新版力作 代码基于Python3,http://product.dangdang.com/1392852357.html,¥33.10,(美)斯维加特(Al Sweigart) 著；李强 译,2017/10/1,1,本书教你如何使用流行的Python编程语言来编写计算机游戏，即便你之前没有任何编程经验。 首先，本书带领读者猜数字和Tic Tac Toe这样的经典游戏，然后开始学习更加高*的游戏的开发，例如基于文本的Sonar Treasure Hunt游戏以及带有音效和动画的Dodger游戏。在此过程中， 我们还会学习关键的编程和数学概念，这些将使得你的游戏开发技能达到更高的层级。 通过本书，你将学习： 使用组合循环、变量和流程控制语句； 选择合适的数据结构来完成任务，例如列表、字典和元组； 使用pygame模块，为游戏添加图形和动画； 处理键盘和鼠标输入； 编写简单的人工智能程序，从而能够和计算机玩游戏； 使用加密技术把文本信息转换为密码； 调试程序并找出常见错误。 随着你编写每一个游戏，你将打下牢固的Python编程基础，并且能够更好地理解计算机科学的基础知识。
